symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,38.8299848068,39.6378505764,38.4200942098,39.4805669752,134768068,0.0,1.0
AAPL,2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,38.9991838323,39.4209898536,38.7036813089,38.7537260911,113528336,0.0,1.0
AAPL,2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.1350196696,39.4948654844,38.932457456,39.111188821,111852056,0.0,1.0
AAPL,2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164.0,35655839,38.6822335451,39.1612336032,38.2794922027,39.0825918026,142623356,0.0,1.0
AAPL,2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.3828604957,39.8594774689,38.5678454715,38.6369549326,169709696,0.0,1.0
AAPL,2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.2979650842,40.3217959329,39.3852435806,39.6569152553,214277504,0.0,1.0
AAPL,2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.0781294792,42.3593334933,41.4180149713,41.7587961071,266157484,0.0,1.0
AAPL,2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.1543881949,42.2997563717,41.5705324027,41.9136966234,136272720,0.0,1.0
AAPL,2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,43.8082490919,43.9083386562,42.4594230577,42.4784877366,224805268,0.0,1.0
AAPL,2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.1251993791,44.7233536804,44.0274928995,44.1299655488,169805692,0.0,1.0
AAPL,2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.3372939321,44.3778063749,43.770119734,44.0846869363,113611108,0.0,1.0
AAPL,2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,44.6494780496,44.659010389,44.1394978883,44.4564481754,92844964,0.0,1.0
AAPL,2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.2881447937,45.3667865942,44.7185875107,44.7400352745,111957156,0.0,1.0
AAPL,2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.1165626833,45.4682321628,44.8438394135,45.3318705279,104848884,0.73,1.0
AAPL,2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,45.0113010704,45.3414397655,44.9419240982,45.2170396775,83115088,0.0,1.0
AAPL,2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,44.6022161656,44.7529316569,44.2816467081,44.6835546847,94780636,0.0,1.0
AAPL,2018-05-16 00:00:00+00:00,188.18,188.46,186.0,186.07,19183064,45.0184779985,45.0854626613,44.4969545527,44.5137007184,76732256,0.0,1.0
AAPL,2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188.0,17294029,44.7337931818,45.1931165836,44.5830776906,44.9754164296,69176116,0.0,1.0
AAPL,2018-05-18 00:00:00+00:00,186.31,187.81,186.13,187.19,18297728,44.5711161436,44.9299625513,44.5280545747,44.7816393695,73190912,0.0,1.0
AAPL,2018-05-21 00:00:00+00:00,187.63,189.27,186.91,188.0,18400787,44.8869009824,45.2792397215,44.7146547067,44.9754164296,73603148,0.0,1.0
AAPL,2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.38,15240704,44.7744624413,45.1859396555,44.6835546847,45.0663241862,60962816,0.0,1.0
AAPL,2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415,45.0615395675,45.0950318989,44.4395391275,44.5806853812,80233660,0.0,1.0
AAPL,2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975,45.0113010704,45.1763704179,44.5471930498,45.1596242522,92935900,0.0,1.0
AAPL,2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963,45.1141703739,45.3701474781,44.8916856012,45.0304395455,69843852,0.0,1.0
AAPL,2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075,44.9514933358,45.1548396335,44.7050854692,44.8797240542,90056300,0.0,1.0
AAPL,2018-05-30 00:00:00+00:00,187.5,188.0,186.78,187.72,18690547,44.8558009604,44.9754164296,44.6835546847,44.9084317669,74762188,0.0,1.0
AAPL,2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793,44.7050854692,45.0304395455,44.5304468841,44.7888162976,109931172,0.0,1.0
AAPL,2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.99,23442510,45.5112937318,45.5160783505,44.915608695,44.9730241202,93770040,0.0,1.0
AAPL,2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.64,26266174,45.8916709239,46.2720481161,45.7768400735,45.8462170456,105064696,0.0,1.0
AAPL,2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.07,21565963,46.2457327128,46.3964482041,46.0184633213,46.1883172876,86263852,0.0,1.0
AAPL,2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619,46.4060174416,46.4299405354,45.9132017084,46.3222866131,83734476,0.0,1.0
